what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538420364962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420390796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420391837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420392035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420408342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420409521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420411576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420412363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420414949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420415832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420462398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420468749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420493912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420505656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420562093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420572093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420584461
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538420586293
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538420598553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1538420602818
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538420604096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1538420605017
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1538420606289
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1538420609246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538420610558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1538420616343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1538420616928
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.folding.toggle",1538420622221
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.folding.collapse_all",1538420623856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1538420624934
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.folding.toggle",1538420625639
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.folding.toggle",1538420635317
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.folding.collapse_all",1538420636624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1538420639269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1538420653744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538420655539
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538420657496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420657846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420679862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538420695590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421759078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1538421760788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421765808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421771321
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538421780581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421793255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421797460
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1538421800310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421803140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421805743
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538421811122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538421816787
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538421826195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421826509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421831816
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538421893121
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538421893518
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538421895656
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538421899413
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538421911361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538421913501
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538421914108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421914463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421919746
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538421926469
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538421926953
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538421929094
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538421932836
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538421951838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538421953779
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538421954333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421954704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538421977458
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538421982548
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538421983020
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538421985169
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538421988916
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538422003199
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538422005030
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538422017942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422028504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422068838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422078391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422194980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422196085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422271229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422271955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422293154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422294125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422333685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422335112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422409789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422410142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422522479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422523665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422536639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538422537352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538423013596
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538423015610
