what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447734753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447741746
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1538447743304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447745219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447750518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447762647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447764614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1538447766401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1538447767409
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1538447769334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1538447769892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1538447770867
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1538447776412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447777182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447783152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538447790928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447791943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538447854920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1538447857755
