what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425443222
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538425445118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425446224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425466049
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538425466063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538425468284
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1538425471326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425475865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425478478
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538425488736
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538425492263
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1538425494422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1538425496203
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538425497947
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538425509346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538425513777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538425516663
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538425519686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425520016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425532627
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538425540898
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538425541313
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538425543502
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538425547254
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538425557480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538425561536
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538425562501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425562851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425567739
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538425577617
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538425578126
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538425580192
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538425583950
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1538425595910
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538425597219
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538425598935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425608194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425863991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538425866517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426161626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426164079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426882710
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1538426885752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426892550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426895183
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538426921582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426921908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426925704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426941573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426941647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426941663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426943966
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538426944643
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538426947252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426947572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426951316
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538426953205
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538426957573
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538426957996
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538426960133
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538426963892
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538426969783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538426972193
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538426973081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426973409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538426978407
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538426991391
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538426991861
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538426993980
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538426997745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427002507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427013965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427015913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427034220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427034981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427129462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427132064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427242235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427244173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427294838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427295782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427302898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427304126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427738017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427741965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427906744
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1538427908830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427914393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427917048
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538427944048
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538427945362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427945706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427949756
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538427958376
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538427958777
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538427960907
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538427964688
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538427970766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538427980561
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1538427982995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427983331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538427988137
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538427992568
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538427993017
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1538427995142
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1538427998908
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1538428004181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538428048443
